RNC,Zone,Issue,Date,,,,
Q321003866-2,34,2,2,,,,
Q321003866-3,34,2,2,,,,
Q321003866-4,34,2,2,,,,
Q321003866-5,34,2,2,,,,
Q321003866-6,34,2,2,,,,
Q321003866-7,34,2,2,,,,
Q321003876-1,34,3,2,,,,
Q321003876-4,34,3,2,,,,
Q321003876-5,34,3,2,,,,
Q321003876-6,34,1,2,,,,
Q321003879-1,34,3,2,,,,
Q321003879-2,34,3,2,,,,
Q321003879-3,34,3,2,,,,
Q321003885-1,34,3,2,,,,
Q321003885-2,34,3,2,,,,
Q321003906-1,34,7,2,,,,
Q321003907-1,34,1,2,,,,
Q321003912-1,31,5,2,,,,
Q321003931-1,MTS,1,2,,,,
Q321003932-1,34,3,2,,,,
Q321003957-1,34,1,2,,,,
Q321003961-1,31,7,2,,,,
Q321003964-1,34,1,2,,,,
Q321003964-2,34,1,2,,,,
Q321003984-1,34,7,2,,,,
Q321003984-2,34,7,2,,,,
Q321004000-1,MTS,3,2,,,,
Q321004005-1,MTS,3,2,,,,
Q321004006-1,4,2,2,,,,
Q321004007-1,MTS,3,2,,,,
Q321004009-1,34,3,2,,,,
Q321004010-1,4,4,2,,,,
Q321004030-1,34,1,2,,,,
Q321004051-1,34,1,2,,,,
Q321004052-1,34,1,2,,,,
Q321004053-1,34,1,2,,,,
Q321004054-1,34,1,2,,,,
Q321004055-1,34,1,2,,,,
Q321004056-1,34,1,2,,,,
Q321004057-1,34,1,2,,,,
Q321004058-1,34,1,2,,,,
Q321004059-1,31,4,2,,,,
Q321004064-1,31,2,2,,,,
Q321004068-1,34,1,2,,,,
Q321004068-2,34,1,2,,,,
Q321004114-1,4,2,3,,,,
Q321004123-1,4,1,3,,,,
Q321004125-1,4,5,3,,,,
Q321004130-1,4,1,3,,,,
Q321004131-1,4,1,3,,,,
Q321004131-2,4,1,3,,,,
Q321004155-1,4,9,3,,,,
Q321004173-1,34,3,3,,,,
Q321004173-2,34,3,3,,,,
Q321004173-3,34,3,3,,,,
Q321004173-4,34,3,3,,,,
Q321004197-1,2,2,3,,,,
Q321004197-2,2,2,3,,,,
Q321004198-1,33,2,3,,,,
Q321004204-1,34,1,3,,,,
Q321004204-2,34,1,3,,,,
Q321004204-3,34,1,3,,,,
Q321004221-1,MTS,4,3,,,,
Q321004233-1,34,7,3,,,,
Q321004247-1,33,2,3,,,,
Q321004289-1,34,7,3,,,,
Q321004289-2,34,7,3,,,,
Q321004293-1,4,9,3,,,,
Q321004294-1,31,2,3,,,,
Q321004294-2,31,2,3,,,,
Q321004298-1,1,2,3,,,,
Q321004300-1,MTS,1,3,,,,
Q321004302-3,34,1,3,,,,
Q321004303-1,31,1,3,,,,
Q321004308-1,31,1,3,,,,
Q321004308-2,31,1,3,,,,
Q321004356-1,MTS,2,3,,,,
Q321004361-1,4,2,3,,,,
Q321004378-1,4,2,3,,,,
Q321004384-1,4,4,3,,,,
Q321004397-1,4,3,3,,,,
Q321004406-1,4,1,3,,,,
Q321004408-1,34,3,3,,,,
Q321004420-1,2,1,3,,,,
Q321004422-1,2,1,3,,,,
Q321004446-1,33,1,3,,,,
Q321004446-2,33,1,3,,,,
Q321004448-1,MTS,2,3,,,,
Q321004460-1,34,1,3,,,,
Q321004463-1,34,3,3,,,,
Q321004464-1,4,2,3,,,,
Q321004465-1,4,2,3,,,,
Q321004466-1,4,1,3,,,,
Q321004467-1,4,1,3,,,,
Q321004482-1,34,3,3,,,,
Q321004492-1,MTS,1,3,,,,
Q321004511-2,34,3,3,,,,
Q321004511-3,34,4,3,,,,
Q321004523-1,33,4,3,,,,
Q321004523-2,33,4,3,,,,
Q321004523-3,33,2,3,,,,
Q321004534-1,4,5,3,,,,
Q321004535-1,4,1,3,,,,
Q321004542-1,4,4,3,,,,
Q321004545-1,34,7,3,,,,
Q321004552-1,1,1,3,,,,
Q321004567-1,31,4,3,,,,
Q321004568-1,4,4,3,,,,
Q321004570-1,4,5,3,,,,
Q321004571-1,4,5,3,,,,
Q321004572-1,4,5,3,,,,
Q321004573-1,4,5,3,,,,
Q321004574-1,4,5,3,,,,
Q321004575-1,4,5,3,,,,
Q321004576-1,4,5,3,,,,
Q321004577-1,4,5,3,,,,
Q321004578-1,4,5,3,,,,
Q321004579-1,4,5,3,,,,
Q321004580-1,4,5,3,,,,
Q321004581-1,4,5,3,,,,
Q321004609-1,34,3,3,,,,
Q321004609-2,34,1,3,,,,
Q321004631-1,32,3,3,,,,
Q321004646-1,4,1,3,,,,
Q321004646-2,4,1,3,,,,
Q321004653-1,2,1,3,,,,
Q321004660-1,2,2,3,,,,
Q321004671-1,4,8,3,,,,
Q321004673-1,34,3,3,,,,
Q321004681-1,2,2,3,,,,
Q321004689-5,34,3,3,,,,
Q321004689-6,34,3,3,,,,
Q321004689-8,34,4,3,,,,
Q321004689-9,34,1,3,,,,
Q321004707-1,MTS,2,3,,,,
Q321004709-1,MTS,2,3,,,,
Q321004716-1,31,5,3,,,,
Q321004725-1,4,2,3,,,,
Q321004730-1,32,3,3,,,,
Q321004733-1,34,3,3,,,,
Q321004733-4,34,1,3,,,,
Q321004744-1,34,7,3,,,,
Q321004744-2,34,7,3,,,,
Q321004748-1,34,6,3,,,,
Q321004760-1,34,1,3,,,,
Q321004777-1,34,1,3,,,,
Q321004779-1,1,2,3,,,,
Q321004792-1,MTS,3,3,,,,
Q321004797-1,4,2,3,,,,
Q321004807-1,34,3,3,,,,
Q321004810-1,34,2,3,,,,
Q321004810-2,34,2,3,,,,
Q321004810-3,34,2,3,,,,
Q321004810-4,34,2,3,,,,
Q321004810-5,34,2,3,,,,
Q321004810-6,34,2,3,,,,
Q321004810-7,34,2,3,,,,
Q321004818-1,33,2,3,,,,
Q321004834-1,MTS,1,3,,,,
Q321004839-1,32,1,3,,,,
Q321004850-1,34,1,3,,,,
Q321004851-1,4,2,3,,,,
Q321004853-1,34,4,3,,,,
Q321004862-1,33,3,3,,,,
Q321004875-1,4,8,3,,,,
Q321004876-1,4,9,3,,,,
Q321004883-1,33,3,3,,,,
Q321004887-1,33,3,3,,,,
Q321004916-1,32,7,3,,,,
Q321004925-1,1,1,3,,,,
Q321004959-1,MTS,4,3,,,,
Q321004970-1,32,1,3,,,,
Q321004971-1,32,1,3,,,,
Q321004972-1,32,1,3,,,,
Q321004973-1,32,1,3,,,,
Q321004974-1,32,1,3,,,,
Q321004975-1,32,1,3,,,,
Q321004976-1,32,1,3,,,,
Q321004977-1,32,1,3,,,,
Q321004978-1,32,1,3,,,,
Q321004979-1,32,1,3,,,,
Q321004986-1,4,3,3,,,,
Q321004990-1,33,1,3,,,,
Q321004990-2,33,1,3,,,,
Q321004990-3,33,7,3,,,,
Q321004994-1,MTS,1,3,,,,
